split,mode,classifier,f1-score,accuracy,time,modality
1,random,SVC,0.6843591191417279,0.6883169934640523,1.8295141250127926,physio_all
1,random,MLPClassifier,0.6514285714285714,0.6535947712418301,2.032643083948642,physio_all
2,random,RandomForestClassifier,0.7752277701832434,0.7543066322136089,2.0147852499503642,physio_all
2,random,KNeighborsClassifier,0.7159863945578232,0.7054263565891472,1.6934900829801336,physio_all
2,random,SVC,0.7474631122812792,0.7276055124892334,1.8203909170115367,physio_all
2,random,MLPClassifier,0.7436822001527883,0.7321274763135228,2.1470546249765903,physio_all
3,random,RandomForestClassifier,0.7025513681955401,0.698974358974359,1.8422748750308529,physio_all
3,random,KNeighborsClassifier,0.6431496431496431,0.642051282051282,1.5347238749964163,physio_all
3,random,SVC,0.6947014297729185,0.6912820512820512,1.7384159170323983,physio_all
3,random,MLPClassifier,0.6833664364272374,0.6799999999999999,1.804606792051345,physio_all
4,random,RandomForestClassifier,0.7077093235285327,0.7121861604409063,1.889856957946904,physio_all
4,random,KNeighborsClassifier,0.6474242190314445,0.6488058787507655,1.7869819169864058,physio_all
4,random,SVC,0.7100168974001718,0.7125944070218412,1.762939790962264,physio_all
4,random,MLPClassifier,0.6625794811995336,0.6632986323739538,2.1834353749873117,physio_all
5,random,RandomForestClassifier,0.7318840579710145,0.7251082251082251,2.0115303329657763,physio_all
5,random,KNeighborsClassifier,0.7138130686517783,0.7099567099567099,1.726938416948542,physio_all
5,random,SVC,0.7404896421845575,0.7344877344877345,2.0556242080638185,physio_all
5,random,MLPClassifier,0.6913405062633192,0.6861471861471862,2.204548457986675,physio_all
6,random,RandomForestClassifier,0.712875939849624,0.7124183006535948,1.69898512493819,physio_all
6,random,KNeighborsClassifier,0.6357700465767203,0.6360294117647058,1.4713757500285283,physio_all
6,random,SVC,0.6978354978354978,0.6977124183006536,1.590804083039984,physio_all
6,random,MLPClassifier,0.5993447993447993,0.5988562091503268,1.9475949590560049,physio_all
7,random,RandomForestClassifier,0.7571428571428571,0.7627467105263157,1.861558375065215,physio_all
7,random,KNeighborsClassifier,0.671966771966772,0.6714638157894737,1.5194108330179006,physio_all
7,random,SVC,0.7575396825396824,0.760279605263158,1.5271992080379277,physio_all
7,random,MLPClassifier,0.6932820036155248,0.6924342105263157,1.776765541988425,physio_all
8,random,RandomForestClassifier,0.7173308755760368,0.7250816993464052,1.9325878750532866,physio_all
8,random,KNeighborsClassifier,0.6554580554580555,0.6593137254901962,1.755070707993582,physio_all
8,random,SVC,0.7250463821892393,0.7320261437908497,2.095974750001915,physio_all
8,random,MLPClassifier,0.691647486062094,0.6948529411764706,3.6317099999869242,physio_all
