subject/task,ecg,eda,resp,video,audio,task
r0a3_Counting1,0.2691090633161366,-0.13583157863467932,0.24541484471410513,0.0,0.0,Counting1
r0a3_Counting2,0.15968243731185794,-0.10463149903807789,0.1771043266635388,0.0,0.0,Counting2
r0a3_Counting3,0.1480291683692485,0.13622798258438706,0.020264953782316297,0.0,0.0,Counting3
r0a3_Math,0.19845220912247896,-0.20583478407934308,0.09124258368683513,0.0,0.0,Math
r0a3_Reading,0.11143964040093124,0.03513496270170435,0.1028302509803325,0.0,0.0,Reading
r0a3_Relax,0.0038479038048535585,-0.0708087818347849,0.13909603172214702,0.0,0.0,Relax
r0a3_Speaking,-0.15301436046138406,-0.13873742471332662,-0.11943858122685924,0.0,0.0,Speaking
r0a3_Stroop,0.08666107256431133,-0.2150650485418737,0.37550140731036663,0.0,0.0,Stroop
r0a3_Video1,-0.023068732756655663,-0.039741769316606224,-0.22382724564522505,0.0,0.0,Video1
r0a3_Video2,0.08532835548976436,-0.039110663725296035,-0.10680861864238977,0.0,0.0,Video2
w2t5_Breathing,0.1168514380697161,0.017148053302662447,0.03611042540433118,0.07849844156589825,0.0,Breathing
w2t5_Counting1,0.03929987020092085,-0.0638762652524747,0.21532602957449853,0.1294015907587891,0.14917885576141998,Counting1
w2t5_Counting2,0.07368496147319092,0.01493612746708095,0.07834839914903569,0.1761779636144638,0.015992839296814054,Counting2
w2t5_Counting3,0.10488775631529279,0.08398999215569347,0.10539655108004808,0.040156743158149766,0.11561992157658096,Counting3
w2t5_Math,0.09240131462502177,0.12061483121215133,-0.09163599251769483,0.1667824974283576,0.17825395637191832,Math
w2t5_Reading,0.15037274692440405,0.0502190527622588,-0.008459712495096028,0.09720529830519808,0.14804394508246332,Reading
w2t5_Relax,0.004721532139228657,-0.11915362067520618,-0.10532255356520182,-0.08005271367437672,0.0,Relax
w2t5_Speaking,0.03893270386470249,0.10639516124501824,0.09365215076832101,0.08506986068096012,0.0037805033498443663,Speaking
w2t5_Stroop,-0.05153482483001426,-0.12206789257470518,-0.22368086781352758,0.10894666099920869,-0.11241680447710678,Stroop
w2t5_Video1,-0.03838671772973612,0.10109803872182965,0.18155417637899518,-0.22093802690505981,0.0,Video1
w2t5_Video2,-0.16615343652665615,-0.030897986798663624,-0.010756057688922738,0.3274438977241516,0.0,Video2
